//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
人民[人民]	rénmín	(N) the people
摊子[攤子]	tānzi	(N) roadside stand, vendor's stall
菜单[菜單]	càidān	(N) menu
萝卜[蘿蔔]	luóbo	(N) daikon radish
接着[接著]	jiēzhe	(Adv) to continue, to pick up where something left off
战争[戰爭]	zhànzhēng	(N) war
不断[不斷]	búduàn	(Vs) continual, incessant
迁移[遷移]	qiānyí	(Vi) to migrate
多半[多半]	duōbàn	(Adv) mostly, in the majority of cases
困难[困難]	kùnnán	(Vs) difficult
节俭[節儉]	jiéjiǎn	(Vs) frugal
主妇[主婦]	zhǔfù	(N) housewife
煎[煎]	jiān	(V) to pan fry
菜色[菜色]	càisè	(N) variety of dishes
以及[以及]	yǐjí	(Conj) and, as well as
美味[美味]	měiwèi	(Vs) delicious
点心[點心]	diǎnxīn	(N) desserts
日式[日式]	Rìshì	(N) Japanese-style
饮食[飲食]	yǐnshí	(N) food, diet
深[深]	shēn	(Vs) deep
蒋介石[蔣介石]	Jiǎng Jièshí	Chiang Kai-Shek, 1887-1975
国共内战[國共內戰]	Guó Gòng nèizhàn	the Chinese Civil War (i.e., between the Kuomintang and the Communists), 1927-1937, 1945-1950
客家人[客家人]	Kèjiā rén	the Hakka people, a branch of Han
闽南人[閩南人]	Mǐnnán rén	the Southern Min people, also called Hokkien
蛋饼[蛋餅]	dàn bǐng	(Ph) an egg wrap
打输[打輸]	dǎ shū	(Ph) to be defeated
摆摊子[擺攤子]	bǎi tānzi	(Ph) to set up a vendor's stall
萝卜糕[蘿蔔糕]	luóbo gāo	(Ph) daikon cakes
烹饪课[烹飪課]	pēngrèn kè	(Ph) cooking class
晒干[曬乾]	shài gān	(Ph) to sun dry
各种各样[各種各樣]	gèzhǒng gèyàng	(Ph) various types
殖民统治[殖民統治]	zhímín tǒngzhì	(Ph) to colonise and rule
味噌汤[味噌湯]	wèizēng tāng	(Ph) miso soup (Japanese food)
萝卜干[蘿蔔乾]	luóbo gān	(Ph) dried daikon
进一步[進一步]	jìn yí bù	(Ph) further
//當代中文/Book 3/L12-I
投票[投票]	tóupiào	(V-sep) to vote
抱歉[抱歉]	bàoqiàn	(Vs) sorry, apologetic
表妹[表妹]	biǎomèi	(N) younger female cousin
反核[反核]	fǎn hé	(Vs-attr) anti-nuclear
游行[遊行]	yóuxíng	(N) demonstration, rally
政治[政治]	zhèngzhì	(N) politics
热衷[熱衷]	rèzhōng	(Vst) enthusiastic about, passionate about
前途[前途]	qiántú	(N) future, prospects
劝[勸]	quàn	(V) to persuade, to urge
而已[而已]	éryǐ	(Ptc) only, merely
民主[民主]	mínzhǔ	(Vs) democratic
表达[表達]	biǎodá	(V) to express
公共[公共]	gōnggòng	(Vs-attr) public
议题[議題]	yìtí	(N) issue
核能[核能]	hénéng	(N) nuclear power
电厂[電廠]	diànchǎng	(N) power plant
由[由]	yóu	(Prep) up to, by (a doer)
专家[專家]	zhuānjiā	(N) expert, specialist
全面[全面]	quánmiàn	(Adv) comprehensively
民意[民意]	mínyì	(N) public will, popular opinion
代表[代表]	dàibiǎo	(N) representative
处理[處理]	chǔlǐ	(V) to deal with, handle, tackle
政党[政黨]	zhèngdǎng	(N) political party
难道[難道]	nándào	(Adv) Could it be that...?, Is it that...?
满[滿]	mǎn	(Vpt) to become
宪法[憲法]	xiànfǎ	(N) constitution
投票权[投票權]	tóupiàoquán	(N) right to vote, suffrage
选举[選舉]	xuǎnjǔ	(N) election
权利[權利]	quánlì	(N) right
表示[表示]	biǎoshì	(V) to mean, indicate
反映[反映]	fǎnyìng	(Vpt) to reflect
为[為]	wèi	(Prep) for
服务[服務]	fúwù	(V) to serve
职位[職位]	zhíwèi	(N) position, job
任期[任期]	rènqí	(N) term of office
选民[選民]	xuǎnmín	(N) voters, electorate
完美[完美]	wánměi	(Vs) perfect
积极[積極]	jījí	(Vs) actively, to take it upon oneself to, take the initiative to
最佳[最佳]	zuìjiā	(Vs-attr) the very best, the best possible
推销员[推銷員]	tuīxiāoyuán	(N) salesperson
有道理[有道理]	yǒu dàolǐ	(Ph) there's some truth (to what you are saying)
候选人[候選人]	hòuxuǎn rén	(Ph) candidate
//當代中文/Book 3/L12-II
学术界[學術界]	xuéshùjiè	(N) academia, the academic fields or circles
从政[從政]	cóngzhèng	(Vi) to engage in politics
政策[政策]	zhèngcè	(N) policy
安定[安定]	āndìng	(Vs) stable
辞[辭]	cí	(Vp) to quit, resign
头脑[頭腦]	tóunǎo	(N) brain, mind
改革[改革]	gǎigé	(N) reforms
看法[看法]	kànfǎ	(N) view, opinion
教育[教育]	jiàoyù	(N) education
方面[方面]	fāngmiàn	(N) in the areas of (an issue)
得到[得到]	dédào	(V) to obtain
连任[連任]	liánrèn	(V) to serve a successive term
届[屆]	jiè	(M) term, tenure of elected office
支持度[支持度]	zhīchídù	(N) approval rating
落选[落選]	luòxuǎn	(Vp) to lose an election
得票率[得票率]	dépiàolǜ	(N) percentage of votes received
预期[預期]	yùqí	(N) expectation
暂时[暫時]	zhànshí	(Adv) temporarily, for the time being
老家[老家]	lǎojiā	(N) hometown
形象[形象]	xíngxiàng	(N) image
商量[商量]	shāngliáng	(V) to confer, consult with
人脉[人脈]	rénmài	(N) network of people, contacts
弱势[弱勢]	ruòshì	(N) disadvantaged (lit. weak power)
退休[退休]	tuìxiū	(Vp) to retire
事业[事業]	shìyè	(N) business, career
捐[捐]	juān	(V) to donate
义务[義務]	yìwù	(Adv) to volunteer, on a voluntary basis, to do something gratis
经费[經費]	jīngfèi	(N) funds
竞选[競選]	jìngxuǎn	(V) run for (an office)
也许[也許]	yěxǔ	(Adv) perhaps
政治界[政治界]	zhèngzhìjiè	(N) the world of politics
权力[權力]	quánlì	(N) power
辞掉[辭掉]	cídiào	(Ph) to quit, resign
提出[提出]	tíchū	(Ph) to propose
国民年金[國民年金]	guómín niánjīn	(Ph) national pension (scheme)
中间选民[中間選民]	zhōngjiān xuǎnmín	(Ph) swing voters
一阵子[一陣子]	yí zhèn zi	(Ph) a while, a short duration of time
下一步[下一步]	xià yí bù	(Ph) the next step (in doing things)
尽可能[盡可能]	jìn kěnéng	(Ph) as far as possible, do one's best
出版社[出版社]	chūbǎn shè	(Ph) publishing company
捐出[捐出]	juānchū	(Ph) to donate
二手书[二手書]	èrshǒu shū	(Ph) secondhand book
//當代中文/Book 4/L01-I
小玲[小玲]	Xiǎolíng	Xiaoling, female
阿建[阿建]	Ājiàn	Ajian, male
聊天室[聊天室]	liáotiānshì	(N) chatroom (室 -shì, room)
上班族[上班族]	shàngbānzú	(N) (office) workers (族 -zú, group)
与其[與其]	yǔqí	(Conj) rather than...
冷清[冷清]	lěngqīng	(Vs) deserted, empty
高就[高就]	gāojiù	(Vi) to work (honorific)
部门[部門]	bùmén	(N) department
厉害[厲害]	lìhài	(Vs) impressive, good, awesome
加班[加班]	jiābān	(V-sep) to work overtime
类[類]	lèi	(M) kind, type
恐怖片[恐怖片]	kǒngbùpiàn	(N) horror movie (恐怖 kǒngbù, scary; 片 -piàn, film)
爱情片[愛情片]	àiqíngpiàn	(N) love story or romance movie (愛情 àiqíng, love)
吓[嚇]	xià	(Vp) to be scared
哭[哭]	kū	(V) to cry
上瘾[上癮]	shàngyǐn	(Vp) to get hooked on, addicted
刺激[刺激]	cìjī	(Vs) stimulating
简直[簡直]	jiǎnzhí	(Adv) simply, really
胆子[膽子]	dǎnzi	(N) guts, courage
部[部]	bù	(M) measure word for movies
限制级[限制級]	xiànzhìjí	(N) restricted (viewing for movies) (限制 xiànzhì, restricted; 級 -jí, level)
电影院[電影院]	diànyǐngyuàn	(N) cinema, movie theater
呃[呃]	è	(Ptc) uh, interjection indicating embarrassment
建设公司[建設公司]	jiànshè gōngsī	(Ph) construction company
业务经理[業務經理]	yèwù jīnglǐ	(Ph) business manager
室内设计[室內設計]	shìnèi shèjì	(Ph) interior design
//當代中文/Book 4/L01-II
温暖[溫暖]	wēnnuǎn	(Vs) warm
目前[目前]	mùqián	(Adv) currently
所[所]	suǒ	(M) measure word for schools
就读[就讀]	jiùdú	(Vi) to be enrolled as a student
不至于[不至於]	búzhìyú	(Adv) not so, not to that degree, not so much that
但[但]	dàn	(Conj) but, however (formal)
放学[放學]	fàngxué	(Vp) after school, when school lets out
后[後]	hòu	(N) afterwards (formal)
解决[解決]	jiějué	(V) to take care
寂寞[寂寞]	jímò	(Vs) lonely
网友[網友]	wǎngyǒu	(N) online friends
陪伴[陪伴]	péibàn	(V) to keep somebody company
电脑[電腦]	diànnǎo	(N) computer
进入[進入]	jìnrù	(V) to enter
线上[線上]	xiànshàng	(N) online
感情[感情]	gǎnqíng	(N) emotions, feelings, love
小气[小氣]	xiǎoqì	(Vs) to be stingy
时[時]	shí	(N) when (formal)
往往[往往]	wǎngwǎng	(Adv) oftentimes, generally
打气[打氣]	dǎqì	(Vi) to cheer on/up
安慰[安慰]	ānwèi	(V) to comfort
心里[心裡]	xīnlǐ	(N) in (one's) mind
大胆[大膽]	dàdǎn	(Vs) to be bold, courageous
纾解[紓解]	shūjiě	(V) to relieve
转换[轉換]	zhuǎnhuàn	(V) to change, transform
虚拟[虛擬]	xūnǐ	(Vs-attr) virtual
现实[現實]	xiànshí	(Vs) actual, real
心理[心理]	xīnlǐ	(N) psychological, mental
即使[即使]	jíshǐ	(Conj) even if, even though
责备[責備]	zébèi	(V) to reproach, get on somebody's case
期待[期待]	qídài	(N) expectations
喘气[喘氣]	chuǎnqì	(V-sep) to gasp, pant
自在[自在]	zìzài	(Vs) to be at ease, relaxed
交友[交友]	jiāoyǒu	(Vi) to make friends (with)
暴力[暴力]	bàolì	(N) violence
点[點]	diǎn	(V) to click (on)
懂得[懂得]	dǒngde	(Vst) to know how to
陷阱[陷阱]	xiànjǐng	(N) trap, snare
明星高中[明星高中]	míngxīng gāozhōng	(Ph) distinguished, exclusive high school
早出晚归[早出晚歸]	zǎochū wǎnguī	(Ph) to leave home early and get home late
打开[打開]	dǎkāi	(Ph) to turn on, to power on
喘不过气[喘不過氣]	chuǎnbúguò qì	(Ph) to be under great pressure, (lit.) unable to breathe
躲进[躲進]	duǒjìn	(Ph) to hide oneself in
掉进[掉進]	diàojìn	(Ph) to fall into
//當代中文/Book 4/L02-I
李云真[李雲真]	Lǐ Yúnzhēn	Li Yunzhen, female
眼睛[眼睛]	yǎnjīng	(N) eye
耳朵[耳朵]	ěrduo	(N) ear
飨宴[饗宴]	xiǎngyàn	(N) feast
打扮[打扮]	dǎbàn	(V) to put on makeup
音乐厅[音樂廳]	yīnyuètīng	(N) music hall, concert hall (廳 -tīng, hall)
表演[表演]	biǎoyǎn	(N/V) performance; to perform
整齐[整齊]	zhěngqí	(Vs) neat
穿着[穿著]	chuānzhuó	(N) attire
丢脸[丟臉]	diūliǎn	(Vs-sep) to lose face, to be embarrassed
短裤[短褲]	duǎnkù	(N) shorts
凉鞋[涼鞋]	liángxié	(N) sandals
挡[擋]	dǎng	(V) to block
演出者[演出者]	yǎnchūzhě	(N) performer (演出 yǎnchū, to perform; 者 -zhě, person)
尊重[尊重]	zūnzhòng	(Vst) to respect
社交[社交]	shèjiāo	(N) socialization
免得[免得]	miǎnde	(Conj) lest, so as not to, to avoid
中场[中場]	zhōngchǎng	(N) intermission, halftime
准时[準時]	zhǔnshí	(Vs) to be punctual, on time
礼貌[禮貌]	lǐmào	(N) courtesy
或[或]	huò	(Conj) or (formal)
熟[熟]	shóu	(Vs) to be familiar with, to be close to somebody
提[提]	tí	(V) to bring up, mention
咳嗽[咳嗽]	késòu	(Vi) to cough
关[關]	guān	(V) to close, shut off
哇[哇]	wa	(Ptc) yikes, oh no
水准[水準]	shuǐzhǔn	(N) class, cultural standard
手册[手冊]	shǒucè	(N) programme, manual
洗手间[洗手間]	xǐshǒujiān	(N) restroom (間 -jiān, part of 房間, room)
提醒[提醒]	tíxǐng	(V) to remind
响[響]	xiǎng	(Vp) to sound
糟[糟]	zāo	(Vs) awful
嘘[噓]	xū	(Ptc) Shh, to hush
看不成[看不成]	kànbùchéng	(Ph) to miss out
联络感情[聯絡感情]	liánluò gǎnqíng	(Ph) to get to know each other better to strengthen ties with each other
擤鼻涕[擤鼻涕]	xǐng bítì	(Ph) to blow one's nose
//當代中文/Book 4/L02-II
场[場]	chǎng	(M) measure word for performances
强调[強調]	qiángdiào	(V) to stress
团体[團體]	tuántǐ	(N) group
千万[千萬]	qiānwàn	(Adv) by all means
钢琴[鋼琴]	gāngqín	(N) piano
小提琴[小提琴]	xiǎotíqín	(N) violin
古典[古典]	gǔdiǎn	(Vs) classical
画家[畫家]	huàjiā	(N) painter
画[畫]	huà	(V/N) to paint; painting
舞蹈[舞蹈]	wǔdào	(N) dance
文学[文學]	wénxué	(N) literature
绘画[繪畫]	huìhuà	(N) (act of) painting, drawing
等[等]	děng	(Ptc) etc., and so forth
寺庙[寺廟]	sìmiào	(N) temple
表现[表現]	biǎoxiàn	(V/N) to manifest, express; manifestation, expression
之[之]	zhī	(Ptc) of (from classical Chinese, roughly equivalent to the modern Chinese 的)
剧情[劇情]	jùqíng	(N) story, plot, storyline
导演[導演]	dǎoyǎn	(N) director (movies)
所[所]	suǒ	(Ptc) a verbal marker (marking what comes after as a verb)
红[紅]	hóng	(Vs) popular (of an actress or singer)
明星[明星]	míngxīng	(N) movie stars
演技[演技]	yǎnjì	(N) acting skills
得[得]	dé	(Vpt) to get, obtain, receive
奖[獎]	jiǎng	(N) award
广场[廣場]	guǎngchǎng	(N) plaza
或[或]	huò	(Conj) or
仔细[仔細]	zǐxì	(Adv) carefully, attentively
留意[留意]	liúyì	(Vst) to pay attention to, take note of
处处[處處]	chùchù	(Adv) everywhere
满足[滿足]	mǎnzú	(Vst) to satisfy
丰盛[豐盛]	fēngshèng	(Vs) sumptuous, abundant
国家戏剧院[國家戲劇院]	Guójiā Xìjùyuàn	National Theater
云门舞集[雲門舞集]	Yúnmén Wǔjí	Cloud Gate Dance Theatre
国家音乐厅[國家音樂廳]	Guójiā Yīnyuètīng	National Concert Hall
金马影展[金馬影展]	Jīnmǎ Yǐngzhǎn	Golden Horse Film Festival
现代舞[現代舞]	xiàndài wǔ	(Ph) modern dance
无人不知无人不晓[無人不知無人不曉]	wúrén bùzhī wúrén bùxiǎo	(Ph) known to all
百闻不如一见[百聞不如一見]	bǎiwén bùrú yíjiàn	(Ph) seeing it once is better than hearing about it a hundred times
老街[老街]	lǎojiē	(Ph) old street
街头艺术[街頭藝術]	jiētóu yìshù	(Ph) street art
装置艺术[裝置藝術]	zhuāngzhì yìshù	(Ph) installation art
填饱[填飽]	tiánbǎo	(Ph) to fill one's belly
口腹之欲[口腹之慾]	kǒufù zhīyù	(Ph) the desire of one's palate
//當代中文/Book 4/L03-I
李文丽[李文麗]	Lǐ Wénlì	Li Wenli, female
外婆[外婆]	wàipó	(N) grandma
女装[女裝]	nǚzhuāng	(N) women's apparel
何必[何必]	hébì	(Adv) Why bother..., Why must?
指[指]	zhǐ	(Vst) to mean, to indicate
划算[划算]	huásuàn	(Vs) cost effective, a good deal
身材[身材]	shēncái	(N) figure, build, body (shape)
模特儿[模特兒]	mótèr	(N) model
不见得[不見得]	bújiàndé	(Adv) not necessarily
仿冒品[仿冒品]	fǎngmàopǐn	(N) knock-off, counterfeit product (仿冒 fǎngmào, counterfeit; 品 -pǐn, product)
瑕疵[瑕疵]	xiácī	(N) defect
图片[圖片]	túpiàn	(N) picture
落差[落差]	luòchā	(N) difference
提供[提供]	tígōng	(V) to offer
资讯[資訊]	zīxùn	(N) information
疑问[疑問]	yíwèn	(N) question, doubt
嘛[嘛]	ma	(Ptc) sentence particle, 'it is obvious that'
惯[慣]	guàn	(Ptc) to get used to, accustomed to etc...
浏览[瀏覽]	liúlǎn	(V) to browse, surf (the internet)
后悔[後悔]	hòuhuǐ	(Vs) to regret, feel sorrowful about
深夜[深夜]	shēnyè	(N) late at night, in the wee hours
任何[任何]	rènhé	(Det) any
骇客[駭客]	hàikè	(N) hacker
盗用[盜用]	dàoyòng	(V) to hack, use illegitimately
认证[認證]	rènzhèng	(V/N) to certify; certification
银发族[銀髮族]	yínfǎzú	(N) senior citizens, seniors (銀 yín, silver; 髮 fǎ, hair)
从前[從前]	cóngqián	(N) in the past, before, formerly
通常[通常]	tōngcháng	(Adv) generally, as a rule
取货[取貨]	qǔhuò	(V-sep) to pick up goods
付款[付款]	fùkuǎn	(V-sep) to make payment
云端科技[雲端科技]	yúnduān kējì	(Ph) cloud/internet technology
宅经济[宅經濟]	zháijīngjì	(Ph) online economy
用不惯[用不慣]	yòngbúguàn	(Ph) not used/accustomed to using, not comfortable with
退换[退換]	tuì huàn	(Ph) to return, to exchange for something else
信用卡[信用卡]	xìnyòng kǎ	(Ph) credit card
//當代中文/Book 4/L03-II
缩短[縮短]	suōduǎn	(Vpt) to shorten
人们[人們]	rénmen	(N) people in general
距离[距離]	jùlí	(N) distance
取代[取代]	qǔdài	(V) to replace
信[信]	xìn	(N) letter, mail
影集[影集]	yǐngjí	(N) (TV) series
取得[取得]	qǔdé	(V) to obtain, access
例如[例如]	lìrú	(Vst) for example
民众[民眾]	mínzhòng	(N) the public, people in general
高速公路[高速公路]	gāosù gōnglù	(N) highway, freeway
前[前]	qián	(N) before (formal)
查询[查詢]	cháxún	(V) to look up, check
路况[路況]	lùkuàng	(N) road situation, traffic situation
避开[避開]	bìkāi	(V) to avoid
路段[路段]	lùduàn	(N) section of road
若[若]	ruò	(Conj) if, supposing
运用[運用]	yùnyòng	(V) to use, employ
病历[病歷]	bìnglì	(N) medical records
例子[例子]	lìzi	(N) example
更加[更加]	gèngjiā	(Adv) even more
原本[原本]	yuánběn	(Adv) originally
忙碌[忙碌]	mánglù	(Vs) busy
确实[確實]	quèshí	(Adv) indeed
控制[控制]	kòngzhì	(V) to control
表弟[表弟]	biǎodì	(N) cousin (younger male cousin from one's mother's side as well as from one's father's sisters)
退步[退步]	tuìbù	(Vp) to regress, get worse, fall behind
过度[過度]	guòdù	(Adv) overly, excessively
与[與]	yǔ	(Conj) and (formal)
生理[生理]	shēnglǐ	(N) physical health
盯[盯]	dīng	(V) to stare
萤幕[螢幕]	yíngmù	(N) screen, monitor
疲倦[疲倦]	píjuàn	(Vs) tired, fatigued
视力[視力]	shìlì	(N) vision, eyesight
家长[家長]	jiāzhǎng	(N) parent
此外[此外]	cǐwài	(Conj) in addition
户外[戶外]	hùwài	(N) outdoor
人类[人類]	rénlèi	(N) mankind, humans
正面[正面]	zhèngmiàn	(Vs) positive
同时[同時]	tóngshí	(Adv) at the same time
负面[負面]	fùmiàn	(Vs) negative
沉迷[沉迷]	chénmí	(Vs) to be obsessed with, wallow in
无形中[無形中]	wúxíng zhōng	(Ph) imperceptibly
远距教学[遠距教學]	yuǎnjù jiāoxué	(Ph) distance learning
大吵大闹[大吵大鬧]	dàchǎo dànào	(Ph) to kick up a row, make a scene, scream bloody murder
焦虑不安[焦慮不安]	jiāolǜ bù'ān	(Ph) to be anxious
总而言之[總而言之]	zǒng'ér yánzhī	(Ph) in conclusion, to sum up, in short
//當代中文/Book 4/L04-I
该[該]	gāi	(Vaux) should, ought to
摆[擺]	bǎi	(V) to place, display
总算[總算]	zǒngsuàn	(Adv) finally
欸[欸]	èi	(Ptc) hey, calling attention
呀[呀]	yā	(Ptc) particle indicating uncertainty
衣橱[衣櫥]	yīchú	(N) closet
梳妆台[梳妝台]	shūzhuāngtái	(N) dressing table
位置[位置]	wèizhì	(N) position, location
空间[空間]	kōngjiān	(N) space
科学[科學]	kēxué	(N) science
风水师[風水師]	fēngshuǐshī	(N) Feng Shui master, geomancer (風水 fēngshuǐ, Feng Shui; 師 -shī, master)
在意[在意]	zàiyì	(Vs) to care about
所谓[所謂]	suǒwèi	(V) so-called, what is known as
角度[角度]	jiǎodù	(N) angle, perspective
改造[改造]	gǎizào	(V) to transform, restructure
学问[學問]	xuéwèn	(N) a branch of learning
居住[居住]	jūzhù	(Vi) to live, reside
